Crime,Datetime,Description,Location_x,Neighborhood_x,Suspect Actions,Weapon,Number,@Photos,norm_date,Dr No,Area ID,Area Name,Crm Cd,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,Crm Cd Desc,Cross Street,Date Occ,Date Rp Td,Latitude,Location_y,Location 1,Longitude,Mo Codes,Neighborhood_y,Neighborhood Council,Prem Is Cd,Prem Is Desc,Rpt Dist No,Status,Status Desc,Time Occ,Tract,Vict Age,Vict Descent,Vict Sex,Weapon Desc,Weapon Used Cd,Zip Code
Vandalism (Misdemeanor),"11:30 p.m. January 7, 2019","The suspect vandalized property at Marmion Apartments, resulting in damage of $400 or less.","3500 block of Marmion Way, Los Angeles",Cypress Park,Official hate crime,No weapon used,,,2019-01-07,191104376.0,,Northeast,745.0,745.0,,,,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,2019-01-07T00:00:00.000-08:00,2019-01-08T00:00:00.000-08:00,34.0871,3500 MARMION WY,0101000020E610000068B3EA73B58D5DC0A5BDC117260B4140,-118.2142,0903 1536 1539 2054,cypress-park,102.0,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",1189.0,IC ,Invest Cont,2330.0,199000.0,0.0,X,X,,,90065.0
Simple Assault,"11 p.m. January 9, 2019","The suspect assaulted the 59-year-old black disabled male victim near the Wilshire/Vermont metro station, while shouting an ""unusual"" statement at him. The suspect did not know the victim prior to the crime.","3100 block of Wilshire Blvd., Los Angeles",Koreatown,Official hate crime,Strong-arm,,,2019-01-09,192004437.0,,Olympic,624.0,624.0,946.0,,,BATTERY - SIMPLE ASSAULT,,2019-01-09T00:00:00.000-08:00,2019-01-09T00:00:00.000-08:00,34.0652,3100 WILSHIRE BL,0101000020E61000007CF2B0506B925DC07FD93D7958084140,-118.2878,0359 1238 2057 1506 0305 0429 0903,koreatown,53.0,102.0,SIDEWALK,2029.0,IC ,Invest Cont,2300.0,211120.0,59.0,B,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,90020.0
Aggravated assault,"5:25 p.m. Jan 10, 2019",The suspect assaulted the 18-year-old Latinx female victim with a vehicle.,"800 block of South La Brea Ave., Los Angeles",Mid-Wilshire,Official hate crime,,,,2019-01-10,190704461.0,,Wilshire,230.0,230.0,,,,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",,2019-01-10T00:00:00.000-08:00,2019-01-10T00:00:00.000-08:00,34.0605,800 S LA BREA AV,0101000020E610000099BB96900F965DC039B4C876BE074140,-118.3447,0919 0903 2056 1516,mid-wilshire,58.0,122.0,"VEHICLE, PASSENGER/TRUCK",745.0,AA ,Adult Arrest,1725.0,216200.0,0.0,H,F,VEHICLE,307.0,90036.0
Vandalism (Misdemeanor),"2:30 p.m. January 11, 2019","The suspect vandalized the Carson-Gore Academy of Environmental Studies, resulting in damage of $400 or less.","3200 block of West Washington Blvd., Los Angeles",Arlington Heights,Official hate crime,No weapon used,,,2019-01-11,190700521.0,,Wilshire,745.0,745.0,946.0,,,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,2019-01-11T00:00:00.000-08:00,2019-01-15T00:00:00.000-08:00,34.0399,3200 W WASHINGTON BL,0101000020E610000071AC8BDB68945DC0228E75711B054140,-118.3189,0329 0903 1414 1528 2053,arlington-heights,74.0,704.0,ELEMENTARY SCHOOL,789.0,IC ,Invest Cont,1430.0,218800.0,0.0,H,F,,,90018.0
Other assault,"3:55 p.m. January 14, 2019","The suspect spat on the 17-year-old white male victim, while using profanities and racial slurs. The victim was a student.","8500 block of West Pico Blvd., Los Angeles",Carthay,Official hate crime,Unknown weapon,,,2019-01-14,190804581.0,,West LA,625.0,625.0,,,,OTHER ASSAULT,,2019-01-14T00:00:00.000-08:00,2019-01-14T00:00:00.000-08:00,34.0534,8500 W PICO BL,0101000020E610000055302AA913985DC09FCDAACFD5064140,-118.3762,1251 1259 0319 2035 2053 1528 2004 0903 0356,carthay,61.0,102.0,SIDEWALK,859.0,AO ,Adult Other,1555.0,216401.0,17.0,W,M,UNKNOWN WEAPON/OTHER WEAPON,500.0,90035.0
Simple assault,"7:30 p.m. January 23, 2019",The suspect hit the 27-year-old Hispanic male victim with a stick while shouting profanities at him. Both the suspect and the victim were homeless.,"500 block of North Spring St., Los Angeles",Downtown,OffIcial hate crime,Stick,,,2019-01-23,190105506.0,,Central,624.0,624.0,,,,BATTERY - SIMPLE ASSAULT,,2019-01-23T00:00:00.000-08:00,2019-01-23T00:00:00.000-08:00,34.0572,500 N SPRING ST,0101000020E610000008AC1C5A648F5DC065AA605452074140,-118.2405,0903 1218 2004 0416 0319 2054 1539,downtown,46.0,102.0,SIDEWALK,111.0,IC ,Invest Cont,1930.0,207102.0,27.0,H,M,STICK,308.0,90012.0
Simple Assault,"3:30 p.m. January 24, 2019",The suspect attacked the 42-year-old transgender* white female victim. The suspect knew the victim prior to the crime and may be affiliated with a gang.,"Beverly-Union bus stop, Los Angeles",Westlake,Official hate crime,Strong-arm,,,2019-01-24,190205194.0,,Rampart,624.0,624.0,,,,BATTERY - SIMPLE ASSAULT,UNION,2019-01-24T00:00:00.000-08:00,2019-01-24T00:00:00.000-08:00,34.0637,BEVERLY,0101000020E6100000D42B6519E2905DC0AA60545227084140,-118.2638,0416 0446 0913 1509 1510 1536 0903 0910 2006 0906,westlake,97.0,124.0,BUS STOP,237.0,IC ,Invest Cont,1530.0,208301.0,42.0,W,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,90026.0
Simple Assault,"3:30 p.m. January 24, 2019",The suspect attacked the 42-year-old transgender* white female victim. The suspect knew the victim prior to the crime and may be affiliated with a gang.,"Beverly-Union bus stop, Los Angeles",Westlake,Official hate crime,Strong-arm,,,2019-01-24,190205195.0,,Rampart,624.0,624.0,,,,BATTERY - SIMPLE ASSAULT,UNION,2019-01-24T00:00:00.000-08:00,2019-01-24T00:00:00.000-08:00,34.0637,BEVERLY,0101000020E6100000D42B6519E2905DC0AA60545227084140,-118.2638,0444 0913 1510 0903 0906 1539 2054,westlake,97.0,102.0,SIDEWALK,237.0,IC ,Invest Cont,1530.0,208301.0,41.0,W,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,90026.0
Trespassing,"04:40 a.m. January 29, 2019",The suspect entered the Holy Martyrs Armenian High School without permission.,"5300 block of White Oak Ave., Los Angeles",Encino,Official hate crime,No weapon used,,,2019-01-29,191005203.0,,West Valley,888.0,888.0,998.0,,,TRESPASSING,,2019-01-29T00:00:00.000-08:00,2019-01-29T00:00:00.000-08:00,34.1674,5300 WHITE OAK AV,0101000020E610000029ED0DBE30A15DC0DAACFA5C6D154140,-118.5186,0903 1402 2055 1519,encino,18.0,721.0,HIGH SCHOOL,1067.0,IC ,Invest Cont,440.0,139504.0,0.0,O,M,,,91316.0
Vandalism (Misdemeanor),"09:30 a.m. January 29, 2019","The suspect vandalized the nearby Temple Judea synagogue, resulting in damage worth $400 or less.","5500 block of Reseda Blvd., Los Angeles",Tarzana,Official hate crime,No weapon used,,,2019-01-29,191005202.0,,West Valley,745.0,745.0,,,,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,2019-01-29T00:00:00.000-08:00,2019-01-29T00:00:00.000-08:00,34.1703,5500 RESEDA BL,0101000020E6100000FCA9F1D24DA25DC02041F163CC154140,-118.536,0329 0903 2053 1528,tarzana,17.0,730.0,SYNAGOGUE/TEMPLE,1063.0,IC ,Invest Cont,930.0,139401.0,0.0,W,M,,,91356.0
"Criminal threats, no weapon displayed","06:55 p.m. January 30, 2019",The suspect threatened to kill the 18-year-old male victim while using hate-related language. Both were passengers on the Metro Expo Line. The suspect was more than 60-years-old and wore a hat or cap.,"3400 block of Exposition  Blvd., Los Angeles",Leimert Park,Official hate crime,Verbal threat,,,2019-01-30,190306049.0,,Southwest,930.0,930.0,,,,CRIMINAL THREATS - NO WEAPON DISPLAYED,,2019-01-30T00:00:00.000-08:00,2019-01-30T00:00:00.000-08:00,34.0223,3400 EXPOSITION BL,0101000020E6100000A835CD3B4E955DC0B459F5B9DA024140,-118.3329,1536 0903 2054 0910 0421 2036 2050 2052 2021 0202,leimert-park,74.0,947.0,MTA - EXPO LINE - EXPO/CRENSHAW,373.0,IC ,Invest Cont,1855.0,219300.0,0.0,X,M,VERBAL THREAT,511.0,90018.0
Vandalism (Felony),"10:00 p.m. January 30, 2019","The suspect vandalized the car of the 33-year-old black gay male victim while using hate-related language, causing over $400 dollars worth of damage.","29th St. and Crenshaw, Los Angeles",Jefferson Park,Official hate crime,No weapon used,,,2019-01-30,190305959.0,,Southwest,740.0,740.0,,,,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",CRENSHAW BL,2019-01-30T00:00:00.000-08:00,2019-01-30T00:00:00.000-08:00,34.0295,29TH ST,0101000020E6100000EF38454772955DC0B29DEFA7C6034140,-118.3351,1536 1514 0329 0903 1222 1300 2036 2054 2055,jefferson-park,75.0,122.0,"VEHICLE, PASSENGER/TRUCK",333.0,IC ,Invest Cont,2200.0,219300.0,33.0,B,M,,,90016.0
Vandalism (Felony),"00:01 a.m. January 31, 2019","The suspect vandalized the apartment of the 47-year-old black male victim, damaging properties over $400 in value.","1100 block of Wilshire Blvd., Los Angeles",Westlake,"Official hate crime, hate incident",No weapon used,,,2019-01-31,190205548.0,,Rampart,740.0,740.0,,,,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",,2019-01-31T00:00:00.000-08:00,2019-01-31T00:00:00.000-08:00,34.0524,1100 WILSHIRE BL,0101000020E61000005B423EE8D9905DC0BB270F0BB5064140,-118.2633,1822 0329 0903,westlake,52.0,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",249.0,IC ,Invest Cont,1.0,209200.0,47.0,B,M,,,90017.0
"Criminal threats, no weapon displayed","03:00 p.m. February 7, 2019",The suspect threatened to kill the 28-year-old white female victim.,"300 block of South Detroit St., Los Angeles",Mid-Wilshire,Official hate crime,Verbal threat,,,2019-02-07,190705990.0,,Wilshire,930.0,930.0,946.0,,,CRIMINAL THREATS - NO WEAPON DISPLAYED,,2019-02-07T00:00:00.000-08:00,2019-02-11T00:00:00.000-08:00,34.0689,300 S DETROIT ST,0101000020E610000060764F1E16965DC0E25817B7D1084140,-118.3451,0903 0421 2053 1528,mid-wilshire,58.0,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",736.0,IC ,Invest Cont,1500.0,214000.0,28.0,W,F,VERBAL THREAT,511.0,90036.0
Vandalism (Misdemeanor),"03:40 a.m. February 11, 2019","The suspect painted graffiti on the wall of Emme Incorporated, a local clothing store. It caused under $399 worth of damage. The victim was a 34-year-old hispanic male.","1400 South Flower St., Los Angeles",Downtown LA,Official hate crime,No weapon used,,,2019-02-11,190106909.0,,Central,745.0,745.0,946.0,,,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,2019-02-11T00:00:00.000-08:00,2019-02-12T00:00:00.000-08:00,34.0388,1400 S FLOWER ST,0101000020E6100000371AC05B20915DC0DB8AFD65F7044140,-118.2676,2054 1536 0329 0311 0903,downtown,52.0,203.0,OTHER BUSINESS,192.0,IC ,Invest Cont,340.0,224010.0,34.0,H,M,,,90015.0
Vandalism,"06:00 a.m. February 11, 2019","The suspect vandalized the car of the 46-year-old Asian female victim and caused over $400 worth of damages, after the victim was removed from her car.","11600 block of San Vincente Blvd., Los Angeles",Brentwood,Official hate crime,No weapon used,,,2019-02-11,190805837.0,,West LA,740.0,740.0,903.0,946.0,,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",,2019-02-11T00:00:00.000-08:00,2019-02-12T00:00:00.000-08:00,34.0537,11600 SAN VICENTE BL,0101000020E6100000840D4FAF949D5DC0C9E53FA4DF064140,-118.4622,2053 1528 0311 0903 1300,brentwood,,108.0,PARKING LOT,832.0,IC ,Invest Cont,600.0,264103.0,46.0,A,F,,,90049.0
Lewd letter/telephone call,"02:15 p.m. February 14, 2019",The suspect sent a lewd letter/telephone call to the 40-year-old white female victim.,"7600 block of Beverly Blvd., Los Angeles",Fairfax,Official hate crime,No weapon used,,,2019-02-14,190706228.0,,Wilshire,956.0,956.0,,,,"LETTERS, LEWD - TELEPHONE CALLS, LEWD",,2019-02-14T00:00:00.000-08:00,2019-02-15T00:00:00.000-08:00,34.0782,7600 BEVERLY BL,0101000020E610000017B7D100DE965DC00B462575020A4140,-118.3573,0903 1528 2053 1501,fairfax,58.0,721.0,HIGH SCHOOL,713.0,IC ,Invest Cont,1415.0,214400.0,40.0,W,F,,,90036.0
Vandalism (Felony),"07:00 p.m. February 18, 2019","The suspect vandalized the West Hollywood United Church of Christ, causing more than $400 worth of damage.","7300 block of West Sunset Blvd., Los Angeles",Hollywood,Official hate crime,No weapon used,,,2019-02-18,190606902.0,,Hollywood,740.0,740.0,,,,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",,2019-02-18T00:00:00.000-08:00,2019-02-19T00:00:00.000-08:00,34.098,7300 W SUNSET BL,0101000020E61000003C4ED1915C965DC0068195438B0C4140,-118.3494,0329 0903 2054 1536,hollywood,29.0,708.0,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),644.0,IC ,Invest Cont,1900.0,189905.0,0.0,X,X,,,90046.0
Miscellaneous crime,"08:45 a.m., February 20, 2019",The suspect vandalized the mailbox of the 35-year-old white male victim and left a written note inside.,"1700 block of North Edgemont St., Los Angeles",Los Feliz,Hate crime,No weapon used,,,2019-02-20,191106524.0,,Northeast,946.0,946.0,998.0,,,OTHER MISCELLANEOUS CRIME,,2019-02-20T00:00:00.000-08:00,2019-02-20T00:00:00.000-08:00,34.1018,1700 N EDGEMONT ST,0101000020E6100000D044D8F0F4925DC0CC5D4BC8070D4140,-118.2962,2054 1536 0329 1402 1405 0903,los-feliz,36.0,145.0,MAIL BOX,1141.0,IC ,Invest Cont,845.0,189201.0,34.0,W,M,,,90027.0
Simple assault,"03:15 a.m. February 21, 2019",The suspect hit the 34-year-old white male victim on the street.,"6800 block of Whitsett Ave., Los Angeles",Valley Glen,Official hate crime,Strong arm,,,2019-02-21,191506689.0,,N Hollywood,624.0,624.0,999.0,,,BATTERY - SIMPLE ASSAULT,,2019-02-21T00:00:00.000-08:00,2019-02-21T00:00:00.000-08:00,34.194,6800 WHITSETT AV,0101000020E6100000B515FBCBEE995DC046B6F3FDD4184140,-118.4052,2055 1519 0903 0416,valley-glen,23.0,101.0,STREET,1513.0,AA ,Adult Arrest,315.0,123304.0,34.0,W,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,91605.0
Miscellaneous crime,"05:00 p.m. February 21, 2019","The suspect vandalized Art & Soul Tattoo Co., a local tattoo parlor while using racial slurs.","2600 block of South Robertson Blvd., Los Angeles",Mid-City,Official hate crime,No weapon used,,,2019-02-21,190806283.0,,West LA,946.0,946.0,,,,OTHER MISCELLANEOUS CRIME,,2019-02-21T00:00:00.000-08:00,2019-02-21T00:00:00.000-08:00,34.0383,2600 S ROBERTSON BL,0101000020E61000000D71AC8BDB985DC0E9B7AF03E7044140,-118.3884,2053 1528 0329 2035 0903,mid-city,61.0,203.0,OTHER BUSINESS,898.0,IC ,Invest Cont,1700.0,269700.0,65.0,W,M,,,90034.0
Criminal threats,"03:20 p.m. February 22, 2019",,"2000 block of South Corning St., Los Angeles",Mid-City,Official hate crime,Strong arm,,,2019-02-22,190806320.0,,West LA,930.0,930.0,,,,CRIMINAL THREATS - NO WEAPON DISPLAYED,,2019-02-22T00:00:00.000-08:00,2019-02-22T00:00:00.000-08:00,34.041,2000 S CORNING ST,0101000020E61000001C7C613255985DC06891ED7C3F054140,-118.3802,2055 1514 0903 0421 2035 0432,mid-city,61.0,101.0,STREET,889.0,IC ,Invest Cont,1520.0,269601.0,30.0,B,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,90034.0
Aggravated assault,"04:24 p.m. February 22, 2019",The suspect brandished and aimed a firearm at the 35-year-old hispanic female victim in a parking lot.,"3600 block of East Olympic Blvd., Los Angeles",Boyle Heights,Official hate crime,Other firearm,,,2019-02-22,190406200.0,,Hollenbeck,230.0,230.0,,,,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",,2019-02-22T00:00:00.000-08:00,2019-02-22T00:00:00.000-08:00,34.0188,3600 E OLYMPIC BL,0101000020E6100000BE9F1A2FDD8C5DC01895D40968024140,-118.20100000000001,2055 1516 0903 0334 0302,boyle-heights,50.0,108.0,PARKING LOT,499.0,IC ,Invest Cont,1624.0,204920.0,35.0,H,F,OTHER FIREARM,107.0,90023.0
Criminal threat,"03:42 p.m. March 1, 2019",The suspect threatened to kill an 18-year-old victim of unknown sex and ethnicity by sending a harassing email/text or other electronic communication at John Marshall High School.,"3900 block of Tracy St., Los Angeles",Los Feliz,Official hate crime,Verbal threat,,,2019-03-01,191100561.0,,Northeast,930.0,930.0,,,,CRIMINAL THREATS - NO WEAPON DISPLAYED,,2019-03-01T00:00:00.000-08:00,2019-03-04T00:00:00.000-08:00,34.1072,3900 TRACY ST,0101000020E61000007D3F355EBA915DC0CB10C7BAB80D4140,-118.277,1906 0421 0903 2055 1514,los-feliz,36.0,721.0,HIGH SCHOOL,1143.0,IC ,Invest Cont,1542.0,195201.0,0.0,X,X,VERBAL THREAT,511.0,90027.0
Simple assault,"01:35 a.m. March 2, 2019",The suspect hit the 22-year-old white male victim at the sidewalk. There are photographic evidences of the crime.,"6300 block of Hollywood Blvd., Los Angeles",Hollywood,Official hate crime,Strong arm,,,2019-03-02,190607397.0,,Hollywood,624.0,624.0,,,,BATTERY - SIMPLE ASSAULT,,2019-03-02T00:00:00.000-08:00,2019-03-02T00:00:00.000-08:00,34.1016,6300 HOLLYWOOD BL,0101000020E61000009BE61DA7E8945DC005A3923A010D4140,-118.3267,0400 0416 0903 1414 2054 1536,hollywood,32.0,102.0,SIDEWALK,646.0,IC ,Invest Cont,135.0,190700.0,22.0,W,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,90028.0
Vandalism (misdemeanor),"11:57 p.m., March 4, 2019","The suspect vandalized the Sotomayor Learning Academies, a complex of high schools and one middle school in the Cypress Park Neighborhood, while using hate-related language. The suspect caused less than $399 worth of damage.","2000 block of North San Fernando Rd., Los Angeles",Cypress Park,Official hate crime,No weapon used,,,2019-03-04,191107042.0,,Northeast,745.0,745.0,,,,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,2019-03-04T00:00:00.000-08:00,2019-03-05T00:00:00.000-08:00,34.1013,2000 N SAN FERNANDO RD,0101000020E6100000DE02098A1F8F5DC0DB8AFD65F70C4140,-118.2363,0329 0903 2055 1513 1514 2036 2304,cypress-park,102.0,721.0,HIGH SCHOOL,1157.0,IC ,Invest Cont,1030.0,185203.0,0.0,X,X,,,90065.0
Threatening phone calls or /letters,"02:20 p.m. March 5, 2019",The suspect threatened to kill the 63-year-old white female victim.,"20300 block of Ventura Blvd., Los Angeles",Woodland Hills,Official hate crime,Verbal threat,,,2019-03-05,192106823.0,,Topanga,928.0,928.0,946.0,,,THREATENING PHONE CALLS/LETTERS,,2019-03-05T00:00:00.000-08:00,2019-03-05T00:00:00.000-08:00,34.1695,20300 VENTURA BL,0101000020E61000001B9E5E29CBA45DC004560E2DB2154140,-118.5749,2053 1528 0903 0421,woodland-hills,16.0,203.0,OTHER BUSINESS,2189.0,IC ,Invest Cont,1420.0,137501.0,63.0,W,F,VERBAL THREAT,511.0,91364.0
Vandalism (felony),"12:00 p.m., March 10, 2019","The suspect vandalized the Church of Scientology of Los Angeles, causing more than $400 worth of damage.","1400 block of North Catalina St., Los Angeles",East Hollywood,Official hate crime,No weapon used,,,2019-03-10,191107253.0,,Northeast,740.0,740.0,,,,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",,2019-03-10T00:00:00.000-08:00,2019-03-10T00:00:00.000-08:00,34.0969,1400 N CATALINA ST,0101000020E61000007B14AE47E1925DC0BF7D1D38670C4140,-118.295,0329 0903 2053 1532,east-hollywood,34.0,708.0,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),1151.0,IC ,Invest Cont,1200.0,191201.0,0.0,X,X,,,90027.0
Aggravated assault,"02:40 p.m. March 10, 2019",The suspect hit the 35-year-old black male victim at a parking lot.,"18300 block of Oxnard St., Los Angeles",Tarzana,Official hate crime,Other/unknown weapon,,,2019-03-10,191007007.0,,West Valley,230.0,230.0,,,,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",,2019-03-10T00:00:00.000-08:00,2019-03-10T00:00:00.000-08:00,34.1802,18300 OXNARD ST,0101000020E6100000E02D90A0F8A15DC09E5E29CB10174140,-118.5308,0400 0416 0903 2053 1514,tarzana,17.0,108.0,PARKING LOT,1044.0,AA ,Adult Arrest,1440.0,139200.0,35.0,B,M,UNKNOWN WEAPON/OTHER WEAPON,500.0,91356.0
"Criminal threats, no weapon displayed","08:00 p.m. March 13, 2019","The suspect threatened to kill the 20-year-old male victim of unspecified ethnicity at Petco, a pet supply store.","12800 block of Ventura Blvd., Los Angeles",Studio City,Official hate crime,Verbal threat,,,2019-03-13,191507803.0,,N Hollywood,930.0,930.0,946.0,,,CRIMINAL THREATS - NO WEAPON DISPLAYED,,2019-03-13T00:00:00.000-07:00,2019-03-13T00:00:00.000-07:00,34.1448,12800 VENTURA BL,0101000020E6100000D8F0F44A599A5DC0FB3A70CE88124140,-118.4117,2055 1519 0421 0903,studio-city,27.0,203.0,OTHER BUSINESS,1591.0,AA ,Adult Arrest,2000.0,143901.0,20.0,O,M,VERBAL THREAT,511.0,91604.0
"Criminal threats, no weapon displayed","03:10 a.m. March 18, 2019","The suspect threatened to harm (other than kill) the 32-year-old white male who was blind, crippled or otherwise unable to take care of himself.","17700 block of Kingsbury St., Los Angeles",Granada Hills,Official hate crime,Verbal threat,,,2019-03-18,191707481.0,,Devonshire,930.0,930.0,,,,CRIMINAL THREATS - NO WEAPON DISPLAYED,,2019-03-18T00:00:00.000-07:00,2019-03-18T00:00:00.000-07:00,34.2637,17700 KINGSBURY ST,0101000020E6100000CCEEC9C342A15DC044FAEDEBC0214140,-118.5197,0903 0443 1202 2024,granada-hills,118.0,101.0,STREET,1745.0,AA ,Adult Arrest,310.0,111301.0,32.0,W,M,VERBAL THREAT,511.0,91344.0
Miscellaneous crime,"12:20 p.m. March 20, 2019",The suspect gained unauthorized access to Patrick Henry Middle School's computer system. The victim was a 13-year old black boy.,"17300 block of San Jose St., Los Angeles",Granada Hills,Official hate crime,No weapon used,,,2019-03-20,191707662.0,,Devonshire,946.0,946.0,,,,OTHER MISCELLANEOUS CRIME,,2019-03-20T00:00:00.000-07:00,2019-03-21T00:00:00.000-07:00,34.2612,17300 SAN JOSE ST,0101000020E610000062105839B4A05DC08CDB68006F214140,-118.51100000000001,1514 2055 1914 0903 1258,granada-hills,118.0,720.0,JUNIOR HIGH SCHOOL,1745.0,IC ,Invest Cont,1220.0,111301.0,13.0,B,M,,,91344.0
Simple assault,"4:20 p.m. March 23, 2019",The suspect hit the 24-year-old Hispanic male victim at an apartment.,"10000 block of Grape St., Los Angeles",Watts,Official hate crime,Strong arm,,,2019-03-23,191808806.0,,Southeast,624.0,624.0,,,,BATTERY - SIMPLE ASSAULT,,2019-03-23T00:00:00.000-07:00,2019-03-23T00:00:00.000-07:00,33.9487,10000 GRAPE ST,0101000020E6100000014D840D4F8F5DC08CDB68006FF94040,-118.2392,2058 0400 0416 0903 1510,watts,88.0,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",1827.0,IC ,Invest Cont,1620.0,242200.0,24.0,H,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,90002.0
Simple assault,"11:40 p.m. March 23, 2019",The suspect hit the 26-year-old Hispanic male victim near the Hollywood Walk of Fame.,"6700 block of Hollywood Blvd,, Los Angeles",Hollywood,Official hate crime,Strong arm,,,2019-03-23,190608600.0,,Hollywood,624.0,624.0,,,,BATTERY - SIMPLE ASSAULT,,2019-03-23T00:00:00.000-07:00,2019-03-24T00:00:00.000-07:00,34.1016,6700 HOLLYWOOD BL,0101000020E6100000E10B93A982955DC005A3923A010D4140,-118.3361,0903 2053 1532 0416,hollywood,29.0,101.0,STREET,646.0,IC ,Invest Cont,2340.0,190202.0,26.0,H,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,90028.0
Aggravated assault,"11:50 p.m. March 24, 2019","The suspect attacked the 36-year-old male hispanic victim from his rear at MacArthur Park. The suspect brandished his/her knife before swinging and hitting the victim with it. He/she proceeded to remove the victim's property, all the while using hate-related language. The victim was homeless and under the influence of drugs or liquor.","2200 block of West 6th St., Los Angeles",Westlake,Official hate crime,Knife with blade 6 inches or less in length,,,2019-03-24,190208580.0,,Rampart,230.0,230.0,946.0,,,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",,2019-03-24T00:00:00.000-07:00,2019-03-24T00:00:00.000-07:00,34.0601,2200 W 6TH ST,0101000020E61000003D9B559FAB915DC0AB3E575BB1074140,-118.2761,2054 1536 1402 1218 0344 2036 0903 0334 0305 0416,westlake,54.0,109.0,PARK/PLAYGROUND,245.0,IC ,Invest Cont,2350.0,208801.0,36.0,H,M,KNIFE WITH BLADE 6INCHES OR LESS,200.0,90057.0
Vandalism,"11 a.m. March 25, 2019","The suspect vandalized Beverly Drive Dental Care, causing $400 worth of damage or more.","1100 block of South Beverly Dr., Los Angeles",Pico-Robertson,Official hate crime,No weapon used,,,2019-03-25,190807602.0,,West LA,740.0,740.0,,,,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",,2019-03-25T00:00:00.000-07:00,2019-03-25T00:00:00.000-07:00,34.0531,1100 S BEVERLY DR,0101000020E6100000A1D634EF38995DC074B515FBCB064140,-118.3941,2053 1528 0903 0329,pico-robertson,61.0,719.0,MEDICAL/DENTAL OFFICES,857.0,IC ,Invest Cont,1100.0,269100.0,0.0,X,X,,,90035.0
Vandalism,"9:30 p.m. March 26, 2019","The suspect vandalized the 45-year-old female victim's garage, causing $399 worth of damage or less.","14700 block of Greenleaf St., Los Angeles",Sherman Oaks,Official hate crime,No weapon used,,,2019-03-26,190908394.0,,Van Nuys,745.0,745.0,,,,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,2019-03-26T00:00:00.000-07:00,2019-03-27T00:00:00.000-07:00,34.1491,14700 GREENLEAF ST,0101000020E6100000A9A44E40139D5DC0B3EA73B515134140,-118.4543,2053 1528 0329 0903,sherman-oaks,26.0,707.0,GARAGE/CARPORT,984.0,IC ,Invest Cont,2130.0,141304.0,45.0,O,F,,,91403.0
Vandalism,"6:40 p.m. March 27, 2019","The suspect vandalized the sidewalk, causing $399 worth of damage or less.","17400 block of Ventura Blvd., Los Angeles",Encino,Official hate crime,No weapon used,,,2019-03-27,191007761.0,,West Valley,745.0,745.0,,,,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,2019-03-27T00:00:00.000-07:00,2019-03-27T00:00:00.000-07:00,34.166,17400 VENTURA BL,0101000020E6100000F853E3A59BA05DC06891ED7C3F154140,-118.5095,2053 1528 0329 0903,encino,18.0,102.0,SIDEWALK,1067.0,IC ,Invest Cont,1840.0,139600.0,0.0,W,M,,,91316.0
